Year,Order,Fuel type,WPS,SPS,CCS,CAP,Speed
2020,1,HFO,0,0,0,15000,20
2021,0,,,,,,20
2022,1,HFO,0,0,0,15000,20
2023,0,,,,,,20
2024,1,HFO,0,0,0,15000,20
2025,0,,,,,,20
2026,1,HFO,0,0,0,15000,20
2027,0,,,,,,20
2028,1,HFO,0,0,0,15000,20
2029,0,,,,,,20
2030,1,HFO,0,0,0,15000,18
2031,0,,,,,,18
2032,1,HFO,0,0,0,15000,18
2033,0,,,,,,18
2034,1,HFO,0,0,0,15000,18
2035,0,,,,,,18
2036,1,HFO,0,0,0,15000,18
2037,0,,,,,,18
2038,1,HFO,0,0,0,15000,18
2039,0,,,,,,18
2040,1,HFO,0,0,0,15000,16
2041,0,,,,,,16
2042,1,HFO,0,0,0,15000,16
2043,0,,,,,,16
2044,1,HFO,0,0,0,15000,16
2045,0,,,,,,16
2046,1,HFO,0,0,0,15000,16
2047,0,,,,,,16
2048,1,HFO,0,0,0,15000,16
2049,0,,,,,,16
2050,1,HFO,0,0,0,15000,16
